
print_multiple_paths
start room: Sjx1
room: Pph6 room->path:0x7ff26a5c5dd0 child_room:Te_0 level:10				total_steps_of_path:0 min_ants:0
room: Te_0 room->path:0x7ff26a5c6c30 child_room:Oez0 level:11				total_steps_of_path:0 min_ants:0
room: Oez0 room->path:0x7ff26a5c7b30 child_room:Mij9 level:12				total_steps_of_path:0 min_ants:0
room: Mij9 room->path:0x7ff26a5c8990 child_room:Nrn8 level:13				total_steps_of_path:0 min_ants:0
room: Nrn8 room->path:0x7ff26a5c9840 child_room:Jf_0 level:14				total_steps_of_path:0 min_ants:0
room: Jf_0 room->path:0x7ff26a5ca6f0 child_room:Ski4 level:15				total_steps_of_path:0 min_ants:0
room: Ski4 room->path:0x7ff26a5cba50 child_room:Uwr1 level:16				total_steps_of_path:0 min_ants:0
room: Uwr1 room->path:0x7ff26a5ccd10 child_room:Zeh1 level:17				total_steps_of_path:0 min_ants:0
room: Zeh1 room->path:0x7ff26a5cdee0 child_room:Ztt6 level:18				total_steps_of_path:0 min_ants:0
room: Ztt6 room->path:0x7ff26a5cef20 child_room:Znp8 level:19				total_steps_of_path:0 min_ants:0
room: Znp8 room->path:0x7ff26a5d0140 child_room:Mzx3 level:20				total_steps_of_path:0 min_ants:0
room: Mzx3 room->path:0x7ff26a448150 child_room:Nqy4 level:21				total_steps_of_path:0 min_ants:0
room: Nqy4 room->path:0x7ff26a5d1db0 child_room:Ikg5 level:22				total_steps_of_path:0 min_ants:0
room: Ikg5 room->path:0x7ff26a61baa0 child_room:Ban9 level:23				total_steps_of_path:0 min_ants:0
room: Ban9 room->path:0x7ff26a61c9a0 child_room:Aka7 level:24				total_steps_of_path:0 min_ants:0
room: Aka7 room->path:0x7ff26a61d8f0 child_room:Z_i8 level:25				total_steps_of_path:0 min_ants:0
room: Z_i8 room->path:0x7ff26a61e7a0 child_room:Cqk7 level:26				total_steps_of_path:0 min_ants:0
room: Cqk7 room->path:0x7ff26a61f650 child_room:Ogf8 level:27				total_steps_of_path:0 min_ants:0
room: Ogf8 room->path:0x7ff26a6205a0 child_room:Ece6 level:28				total_steps_of_path:0 min_ants:0
room: Ece6 room->path:0x7ff26a621680 child_room:Jae6 level:29				total_steps_of_path:0 min_ants:0
room: Jae6 room->path:0x7ff26a6228f0 child_room:B__6 level:30				total_steps_of_path:0 min_ants:0
room: B__6 room->path:0x7ff26a5d39d0 child_room:Rtw5 level:31				total_steps_of_path:0 min_ants:0
room: Rtw5 room->path:0x7ff26a5d4e70 child_room:Xwq5 level:32				total_steps_of_path:0 min_ants:0
room: Xwq5 room->path:0x7ff26a5d63b0 child_room:Vzk7 level:33				total_steps_of_path:0 min_ants:0
room: Vzk7 room->path:0x7ff26a5d7a80 child_room:Afo3 level:34				total_steps_of_path:0 min_ants:0
room: Afo3 room->path:0x7ff26a5d9290 child_room:Nrt2 level:35				total_steps_of_path:0 min_ants:0
room: Nrt2 room->path:0x7ff26a5dac80 child_room:Fwd5 level:36				total_steps_of_path:0 min_ants:0
room: Fwd5 room->path:0x7ff26a5dc710 child_room:Qll2 level:37				total_steps_of_path:0 min_ants:0
room: Qll2 room->path:0x7ff26a5de510 child_room:Ohd3 level:38				total_steps_of_path:0 min_ants:0
room: Ohd3 room->path:0x7ff26a5e0130 child_room:V_p3 level:39				total_steps_of_path:0 min_ants:0
room: V_p3 room->path:0x7ff26a5e1df0 child_room:Khx5 level:40				total_steps_of_path:0 min_ants:0
room: Khx5 room->path:0x7ff26a5e3880 child_room:Zro4 level:41				total_steps_of_path:0 min_ants:0
room: Zro4 room->path:0x7ff26a5e5360 child_room:Sri7 level:42				total_steps_of_path:0 min_ants:0
start room: Sjx1
room: Tcs1 room->path:0x7ff26a5c6230 child_room:Zyv1 level:1				total_steps_of_path:72 min_ants:247
room: Zyv1 room->path:0x7ff26a5c6690 child_room:Be_4 level:2				total_steps_of_path:0 min_ants:0
room: Be_4 room->path:0x7ff26a5c4a70 child_room:Cbx6 level:3				total_steps_of_path:0 min_ants:0
room: Cbx6 room->path:0x7ff26a5e5950 child_room:Cid2 level:4				total_steps_of_path:0 min_ants:0
room: Cid2 room->path:0x7ff26a5ed0b0 child_room:X_i0 level:5				total_steps_of_path:0 min_ants:0
room: X_i0 room->path:0x7ff26a5f7ab0 child_room:Jln7 level:6				total_steps_of_path:0 min_ants:0
room: Jln7 room->path:0x7ff26a5cff10 child_room:Whv1 level:7				total_steps_of_path:0 min_ants:0
room: Whv1 room->path:0x7ff26a5d53c0 child_room:Gas5 level:8				total_steps_of_path:0 min_ants:0
room: Gas5 room->path:0x7ff26a5e8b50 child_room:Yfs5 level:9				total_steps_of_path:0 min_ants:0
room: Yfs5 room->path:0x7ff26a5fd280 child_room:Ilq1 level:10				total_steps_of_path:0 min_ants:0
room: Ilq1 room->path:0x7ff26a5de4c0 child_room:Ylp3 level:11				total_steps_of_path:0 min_ants:0
room: Ylp3 room->path:0x7ff26a5c45c0 child_room:Ofa6 level:12				total_steps_of_path:0 min_ants:0
room: Ofa6 room->path:0x7ff26a5c83f0 child_room:Zif8 level:13				total_steps_of_path:0 min_ants:0
